EXID,TOPK_SIMILAR
1,"[22, 5, 9, 28, 8]"
2,"[16, 29, 23, 27, 12]"
3,"[28, 9, 26, 8, 1]"
4,"[6, 17, 19, 29, 2]"
5,"[1, 16, 23, 22, 30]"
6,"[30, 19, 11, 17, 4]"
7,"[22, 15, 8, 30, 13]"
8,"[9, 7, 10, 22, 15]"
9,"[8, 28, 3, 13, 1]"
10,"[21, 18, 8, 30, 23]"
11,"[6, 21, 20, 13, 30]"
12,"[15, 23, 19, 2, 14]"
13,"[28, 20, 30, 16, 11]"
14,"[26, 24, 16, 11, 12]"
15,"[29, 12, 7, 22, 8]"
16,"[30, 2, 23, 26, 14]"
17,"[26, 27, 6, 4, 16]"
18,"[21, 10, 23, 25, 30]"
19,"[6, 24, 12, 30, 4]"
20,"[13, 11, 29, 15, 28]"
21,"[10, 18, 30, 11, 23]"
22,"[7, 15, 1, 28, 8]"
23,"[16, 26, 21, 27, 18]"
24,"[14, 19, 9, 26, 4]"
25,"[21, 18, 10, 30, 16]"
26,"[17, 14, 23, 16, 27]"
27,"[17, 23, 2, 16, 26]"
28,"[13, 22, 3, 9, 1]"
29,"[15, 2, 4, 20, 13]"
30,"[16, 6, 21, 10, 13]"
