"EXID","ExCreation","ExThreat","ExTTPs","ExCategories","ExGroups","ExSoftware","ExStructure","ExMaturity","ExComplexity","ExLength","ExAudience","ExTradeCraftIntra","ExTradeCraftInter"
1,2021-12-07,"Ransomware","Credential Dumping;Process Injection;Access Token Manipulation;Defense Evasion","Dark web;Malware","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter","TrickBot","Notification;Response;Impact;Validation;Developments;Privacy;Exfiltration;Media",5,1,45,"Network;SecOps",0,0.75
2,2023-07-02,"Banking Trojan","Malicious File;Persistence;Valid Accounts","Data breach;Financial","Dridex Group;Evil Corp;Carbanak;Ursnif Operators","Dridex;TrickBot","Impact;Notification;Exfiltration;Detection;Media;Response;Developments;Legal;Validation;Privacy",4,5,75,"Media;SecOps",0.666666666666667,1
3,2022-12-26,"Ransomware","Password Spraying;File and Directory Discovery;Registry Run Keys","Crypto;Impact","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter","TrickBot;Maze","Exfiltration;Impact;Response;Validation;Media;Notification;Privacy;Detection;Developments;Legal",2,5,30,"Media;SecOps",0,0.666666666666667
4,2021-04-26,"Remote Access Trojan;Crypto Miner","Drive-by Compromise;Credential Access;Malicious File;Execution;Command and Scripting Interpreter;Windows Management Instrumentation;Rootkit","C2;APT;Supply Chain","APT33;FIN7;APT41;APT3;Turla;Rocke;Panda;Blue Mockingbird;TeamTNT;Kinsing;8220 Gang","NanoCore;QuasarRAT;PlugX;XMRig;Kinsing;CoinMiner","Notification;Media;Developments;Response;Legal;Exfiltration",4,3,165,"Network;SecOps",0.428571428571429,0.714285714285714
5,2022-10-20,"Data Breach","Execution;Process Injection;Brute Force","Crypto;Botnet","APT29;FIN4;Charming Kitten;APT10;APT1;Cobalt Group;Carbanak","Empire;Mimikatz;BloodHound","Media;Exfiltration;Response;Detection;Validation;Developments;Privacy;Legal;Impact",1,5,150,"Media;SecOps",0.333333333333333,0.666666666666667
6,2021-08-18,"DDoS;Crypto Miner","Service Stop;Valid Accounts;Drive-by Compromise;Discovery","Exfiltration;DDoS;Dark web;Crypto","APT28;Lizard Squad;Armada Collective;Fancy Bear;Anonymous;Killnet;Rocke;Panda;Blue Mockingbird;TeamTNT;Kinsing;8220 Gang","LOIC;GrooVe;CoinMiner;Kinsing;TeamTNT Scripts","Legal;Validation;Developments;Exfiltration;Notification;Media;Response",4,4,135,"Exec;Network",0.75,1
7,2021-12-19,"Ransomware;Data Breach","Service Stop;Remote File Copy;Account Discovery;Exfiltration;Impact;User Execution","DDoS;APT;Web;Exfiltration","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter;APT29;FIN4;Charming Kitten;APT10;APT1;Cobalt Group;Carbanak","REvil;BloodHound;Empire","Privacy;Media;Validation;Legal;Response;Developments;Impact",4,4,180,"Exec;Network",0.5,0.666666666666667
8,2023-12-06,"Ransomware","User Execution;System Information Discovery;Application Layer Protocol","APT;Data breach","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter","LockBit;TrickBot","Response;Exfiltration;Developments",1,5,75,"SecOps;Network",0.666666666666667,1
9,2023-05-23,"Ransomware","Application Layer Protocol;Signed Binary Proxy Execution","Supply Chain;Exfiltration;Botnet","Wizard Spider;FIN6;TA505;UNC1878;DarkSide;REvil;LockBit;Conti;BlackMatter","Ryuk","Validation;Impact;Media;Response",2,3,135,"SecOps;Media",0.5,1
10,2022-04-27,"Web Shell","Credential Access;Discovery;Privilege Escalation;System Information Discovery","Ransom negotiation;Web;Financial;Botnet","Chopper Operators;APT34;APT39","KONNI","Impact;Validation;Developments;Legal;Media;Response;Exfiltration;Privacy;Detection",1,4,75,"Legal;SecOps",0.5,1
