ORGID,original_text,attack_id,label_type,match_type
1,Signed Binary Proxy Execution,T1218,technique,alias
1,Network Service Scanning,T1046,technique,alias
2,Command and Scripting Interpreter,T1059,technique,exact_name
2,Service Stop,T1489,technique,exact_name
2,Discovery,TA0007,tactic,exact_name
2,Defense Evasion,TA0005,tactic,exact_name
2,Exfiltration,TA0010,tactic,exact_name
3,Data Exfiltration Over Web Service,T1567,technique,alias
3,Network Service Scanning,T1046,technique,alias
3,User Execution,T1204,technique,exact_name
3,Malicious File,T1204.002,technique,exact_name
3,Brute Force,T1110,technique,exact_name
3,Access Token Manipulation,T1134,technique,exact_name
3,Data Staged,T1074,technique,exact_name
3,Bypass User Account Control,T1088,technique,exact_name
3,Scheduled Task/Job,T1053,technique,exact_name
3,Windows Management Instrumentation,T1047,technique,exact_name
4,Spearphishing Attachment,T1598.002,technique,exact_name
4,Signed Binary Proxy Execution,T1218,technique,alias
4,Phishing,T1566,technique,exact_name
4,Execution,TA0002,tactic,exact_name
4,Command and Control,TA0011,tactic,exact_name
5,Data Staged,T1074,technique,exact_name
5,Unsecured Credentials,T1552,technique,exact_name
5,User Execution,T1204,technique,exact_name
5,Masquerading,T1036,technique,exact_name
6,Account Discovery,T1087,technique,exact_name
6,Initial Access,TA0001,tactic,exact_name
6,Boot or Logon Autostart Execution,T1547,technique,exact_name
6,Remote Services,T1021,technique,exact_name
6,Phishing,T1566,technique,exact_name
6,Process Injection,T1055,technique,exact_name
7,Execution,TA0002,tactic,exact_name
7,Drive-by Compromise,T1189,technique,exact_name
7,Signed Binary Proxy Execution,T1218,technique,alias
7,Valid Accounts,T1078,technique,exact_name
7,Privilege Escalation,TA0004,tactic,exact_name
7,Discovery,TA0007,tactic,exact_name
7,Impact,TA0040,tactic,exact_name
7,Exfiltration,TA0010,tactic,exact_name
7,Remote File Copy,T1105,technique,alias
7,Account Manipulation,T1098,technique,exact_name
8,Defense Evasion,TA0005,tactic,exact_name
8,Scripting,T1064,technique,exact_name
8,Data Staged,T1074,technique,exact_name
8,Account Manipulation,T1098,technique,exact_name
9,Command and Scripting Interpreter,T1059,technique,exact_name
9,Data Staged,T1074,technique,exact_name
9,File and Directory Discovery,T1083,technique,exact_name
9,Exfiltration,TA0010,tactic,exact_name
9,Remote File Copy,T1105,technique,alias
9,Scheduled Task/Job,T1053,technique,exact_name
10,Credential Access,TA0006,tactic,exact_name
10,Remote System Discovery,T1018,technique,exact_name
10,Process Injection,T1055,technique,exact_name
11,Defense Evasion,TA0005,tactic,exact_name
11,Valid Accounts,T1078,technique,exact_name
11,Service Stop,T1489,technique,exact_name
11,Malicious File,T1204.002,technique,exact_name
11,Drive-by Compromise,T1189,technique,exact_name
11,Rootkit,T1014,technique,exact_name
12,Data Staged,T1074,technique,exact_name
12,Malicious File,T1204.002,technique,exact_name
12,Initial Access,TA0001,tactic,exact_name
12,Application Window Discovery,T1010,technique,exact_name
12,Unsecured Credentials,T1552,technique,exact_name
12,Exfiltration,TA0010,tactic,exact_name
12,Boot or Logon Autostart Execution,T1547,technique,exact_name
12,Obfuscated Files or Information,T1027,technique,exact_name
12,Execution,TA0002,tactic,exact_name
13,Trusted Relationship,T1199,technique,exact_name
13,Boot or Logon Autostart Execution,T1547,technique,exact_name
13,Brute Force,T1110,technique,exact_name
13,Initial Access,TA0001,tactic,exact_name
14,Network Service Scanning,T1046,technique,alias
14,Drive-by Compromise,T1189,technique,exact_name
14,Access Token Manipulation,T1134,technique,exact_name
14,Initial Access,TA0001,tactic,exact_name
14,Remote System Discovery,T1018,technique,exact_name
14,Valid Accounts,T1078,technique,exact_name
