"ORGID","Industry","Region","Size","SecurityBudget","PrimarySecurityTeam","Maturity","Complexity","ExerciseFrequency","Threats","TTPs","Aims"
1,"Ransomware","South America","Small","Medium","In-house",4,4,120,"Remote Access Trojan","Signed Binary Proxy Execution;Network Service Scanning","APT10;Maze;Supply Chain;Application Window Discovery"
2,"Supply Chain","Europe","Large","Medium","In-house",1,5,180,"DDoS;Web Shell","Command and Scripting Interpreter;Service Stop;Discovery;Defense Evasion;Exfiltration","XMRig;FIN7;Registry Run Keys;Cobalt Strike"
3,"Insider Threat","North America","Small","Medium","Outsourced",4,4,90,"Banking Trojan;Ransomware;Crypto Miner","Data Exfiltration Over Web Service;Network Service Scanning;User Execution;Malicious File;Brute Force;Access Token Manipulation;Data Staged;Bypass User Account Control;Scheduled Task/Job;Windows Management Instrumentation","Remote Access Trojan;ASPXSpy;Remcos;Crypto Miner"
4,"Banking Trojan","Africa","Medium","Low","Hybrid",1,4,300,"Phishing;Banking Trojan","Spearphishing Attachment;Signed Binary Proxy Execution;Phishing;Execution;Command and Control","Indicator Removal;Evilginx;NanoCore;Web Shell"
5,"Banking Trojan","Africa","Medium","High","In-house",4,5,180,"Phishing","Data Staged;Unsecured Credentials;User Execution;Masquerading","XMRig;njRAT;APT34;Command and Scripting Interpreter"
6,"Web Shell","Europe","Medium","Low","Hybrid",3,2,180,"Data Breach;Supply Chain","Account Discovery;Initial Access;Boot or Logon Autostart Execution;Remote Services;Phishing;Process Injection","Indicator Removal;Credential Dumping;FIN7;Armada Collective"
7,"Remote Access Trojan","Asia","Small","Medium","In-house",1,1,120,"Web Shell;Insider Threat;Remote Access Trojan","Execution;Drive-by Compromise;Signed Binary Proxy Execution;Valid Accounts;Privilege Escalation;Discovery;Impact;Exfiltration;Remote File Copy;Account Manipulation","Molerats;Application Layer Protocol;Empire;DarkSide"
8,"Web Shell","North America","Small","Low","In-house",2,1,60,"Phishing","Defense Evasion;Scripting;Data Staged;Account Manipulation","Signed Binary Proxy Execution;DarkSide;Web Shell;OS Credential Dumping"
9,"DDoS","South America","Small","Low","Hybrid",4,2,330,"Web Shell;Remote Access Trojan","Command and Scripting Interpreter;Data Staged;File and Directory Discovery;Exfiltration;Remote File Copy;Scheduled Task/Job","APT39;Maze;FIN7;Privilege Escalation"
10,"Remote Access Trojan","Europe","Medium","Medium","Hybrid",4,1,210,"Ransomware","Credential Access;Remote System Discovery;Process Injection","ShadowPad;Agent Tesla;Lizard Squad;XMRig"
11,"Web Shell","Europe","Large","Medium","Outsourced",3,3,210,"DDoS;Remote Access Trojan","Defense Evasion;Valid Accounts;Service Stop;Malicious File;Drive-by Compromise;Rootkit","Equation Group;Kinsing;Supply Chain"
12,"Supply Chain","North America","Small","High","Hybrid",3,2,240,"Phishing;Data Breach;Crypto Miner","Data Staged;Malicious File;Initial Access;Application Window Discovery;Unsecured Credentials;Exfiltration;Boot or Logon Autostart Execution;Obfuscated Files or Information;Execution","Supply Chain;Ransomware;PlugX;Banking Trojan"
13,"Remote Access Trojan","Oceania","Medium","High","Hybrid",1,1,240,"Ransomware","Trusted Relationship;Boot or Logon Autostart Execution;Brute Force;Initial Access","File and Directory Discovery;APT39;User Execution;Data Breach"
14,"Insider Threat","North America","Medium","High","In-house",4,5,180,"Banking Trojan;Remote Access Trojan","Network Service Scanning;Drive-by Compromise;Access Token Manipulation;Initial Access;Remote System Discovery;Valid Accounts;Obfuscated Files or Information","Conti;Account Manipulation;REvil"
15,"DDoS","Oceania","Large","Medium","Outsourced",2,1,300,"Remote Access Trojan;Banking Trojan","Account Manipulation;Exfiltration;Rootkit;Application Layer Protocol;Privilege Escalation;Credential Access","SharpHound;Insider Threat;Web Shell;Wizard Spider"
16,"Ransomware","South America","Large","High","Outsourced",2,4,300,"Insider Threat;DDoS;Supply Chain","Process Injection;Data Staged;Account Manipulation;Discovery;Command and Scripting Interpreter;System Information Discovery;Valid Accounts;Boot or Logon Autostart Execution;Remote System Discovery","Data Breach;Persistence;Botnet Zeus;Mirai"
